Time,Device ID,Visible Light (lm),IR (lm),UV (UV Index),CO2 (ppm),Temperature (°C),Humidity (%),Dust (µg/m3),Noise (0-1023)
4/1/2021,yssmote5,257,265,0,467.1,29,70,32,17
4/1/2021,yssmote3,259,254,0,0,29.5,70,34,17
4/1/2021,yssmote5,257,265,0,464,28.8,69.5,25,13
4/1/2021,yssmote3,262,254,0,0,29.4,67,25,18
4/1/2021,yssmote5,257,265,0,463.2,28.5,69.5,11,18
4/1/2021,yssmote3,260,255,0,0,29.4,66.5,6,20
4/1/2021,yssmote5,257,265,0,442.7,28.4,71.5,6,17
4/1/2021,yssmote3,261,253,0,0,29.4,69,6,22
4/1/2021,yssmote5,257,265,0,451.1,28.3,73.5,6,19
4/1/2021,yssmote3,260,254,0,0,29.3,70.5,3,15
4/1/2021,yssmote5,257,265,0,449.6,28,74,6,14
4/1/2021,yssmote3,261,253,0,0,29.2,71.5,25,15
4/1/2021,yssmote5,257,265,0,478.8,27.7,75.5,14,15
4/1/2021,yssmote3,261,254,0,1.8,29,71,4,26
4/1/2021,yssmote5,257,265,0,462,27.6,74.5,11,20
4/1/2021,yssmote3,260,256,0,6.9,29,69,8,27
4/1/2021,yssmote5,257,265,0,469.1,28,74,11,14
4/1/2021,yssmote3,261,262,0,30.6,29.2,69,13,17
4/1/2021,yssmote5,257,265,0,428.3,29.2,71.5,12,29
4/1/2021,yssmote3,262,263,0,0,29.4,69,8,25
4/1/2021,yssmote5,257,265,0,427.5,30,69,6,19
4/1/2021,yssmote3,263,269,0,0,29.6,68,3,25
4/1/2021,yssmote5,257,265,0,402.6,30.9,66.5,6,13
4/1/2021,yssmote3,263,273,0,0,29.8,67,10,35
4/1/2021,yssmote5,257,265,0,477.7,32.3,64,11,25
4/1/2021,yssmote3,263,277,0,2.3,30.2,65.5,10,28
4/1/2021,yssmote5,257,265,0,471.1,34.1,56.5,13,14
4/1/2021,yssmote5,257,265,0,452.2,35.6,51.5,9,16
4/1/2021,yssmote3,261,281,0,0,30.9,59.5,10,37
4/1/2021,yssmote5,257,265,0,479.7,34.6,50,8,25
4/1/2021,yssmote1,255,255,0,275.1,34.7,48,11,29
4/1/2021,yssmote3,263,293,0,0,31.1,56,3,21
4/1/2021,yssmote5,257,265,0,472,35.6,49,6,25
4/1/2021,yssmote3,265,293,0,0,31.3,56.5,10,45
4/1/2021,yssmote5,257,265,0,479.4,33.7,50,11,17
4/1/2021,yssmote3,262,274,0,0,31.3,53.5,8,28
4/1/2021,yssmote5,257,265,0,482.6,32.2,51.5,7,20
4/1/2021,yssmote1,255,255,0,332.5,32.1,50.5,2,27
4/1/2021,yssmote3,262,258,0,0,30.9,55,11,18
4/1/2021,yssmote5,257,265,0,466.3,31.1,55.5,6,14
4/1/2021,yssmote3,260,253,0,0,30.5,57.5,20,20
4/1/2021,yssmote5,257,265,0,504.7,30.3,59,17,10
4/1/2021,yssmote3,260,254,0,0,30.4,59.5,6,19
4/1/2021,yssmote5,257,265,0,487,29.9,61,13,15
4/1/2021,yssmote3,260,253,0,0,30.3,60.5,5,21
4/1/2021,yssmote5,257,265,0,486,29.5,62.5,12,15
4/1/2021,yssmote3,260,252,0,0,30.3,61.5,16,20
4/1/2021,yssmote5,257,265,0,464.5,29.6,63,19,17
4/1/2021,yssmote3,262,254,0,0,30.3,61.5,11,25
4/2/2021,yssmote5,257,265,0,448.3,29.3,68.5,23,15
4/2/2021,yssmote3,260,254,0,0,30.1,67,6,15
4/2/2021,yssmote5,257,265,0,466,29,71.5,19,17
4/2/2021,yssmote3,261,253,0,0,30,69,11,14
4/2/2021,yssmote5,257,265,0,415.8,28.8,73,20,18
4/2/2021,yssmote3,261,253,0,6.2,30,70,19,14
4/2/2021,yssmote5,257,265,0,428,28.7,76,24,15
4/2/2021,yssmote3,261,253,0,0,29.8,72.5,26,14
4/2/2021,yssmote5,257,265,0,437.5,28.4,79,18,17
4/2/2021,yssmote3,259,254,0,0,29.7,75,20,14
4/2/2021,yssmote5,257,265,0,456.9,28.1,81.5,13,15
4/2/2021,yssmote3,262,254,0,0,29.7,76.5,25,21
4/2/2021,yssmote5,257,265,0,410.1,28.1,81.5,26,13
4/2/2021,yssmote3,261,253,0,0,29.6,77,20,14
4/2/2021,yssmote5,257,265,0,461.3,27.9,83,23,15
4/2/2021,yssmote3,261,256,0,0,29.4,78,14,24
4/2/2021,yssmote5,257,265,0,435.4,28.4,84,28,24
4/2/2021,yssmote3,260,258,0,0,29.5,78.5,31,22
4/2/2021,yssmote5,257,265,0,421.4,29.5,81,23,18
4/2/2021,yssmote3,263,277,0,0,29.8,76,23,17
4/2/2021,yssmote5,257,265,0,431.7,31.1,72.5,14,16
4/2/2021,yssmote3,261,280,0,0,30.1,72,28,17
4/2/2021,yssmote5,257,265,0,438.7,33,65,17,18
4/2/2021,yssmote3,261,268,0,0,30.5,67.5,6,18
4/2/2021,yssmote5,257,265,0,431.6,34.6,57.5,20,13
4/2/2021,yssmote3,261,271,0,0,30.7,65,26,21
4/2/2021,yssmote5,257,265,0,461.5,34.4,56,19,17
4/2/2021,yssmote3,264,291,0,0,31,63.5,13,19
4/2/2021,yssmote5,257,265,0,474.4,34.6,55.5,17,15
4/2/2021,yssmote3,261,270,0,0,31,63,20,14
4/2/2021,yssmote5,257,265,0,473.1,36.6,49.5,19,17
4/2/2021,yssmote3,264,294,0,0,31.7,59,8,19
4/2/2021,yssmote5,257,265,0,487.5,37.2,50.5,19,17
4/2/2021,yssmote3,262,269,0,0,31.6,66.5,19,19
4/2/2021,yssmote5,257,265,0,468.8,32.9,64,25,16
4/2/2021,yssmote3,261,254,0,0,31.1,70.5,21,28
4/2/2021,yssmote5,257,265,0,481.2,28.2,79.5,22,36
4/2/2021,yssmote3,260,254,0,0,29.6,74.5,16,30
4/2/2021,yssmote5,257,265,0,463.4,25.4,94,28,18
4/2/2021,yssmote3,260,254,0,0,29.1,74,20,15
4/2/2021,yssmote5,257,265,0,422,25.2,96,29,19
4/2/2021,yssmote3,261,254,0,0,29,76,16,28
4/2/2021,yssmote5,257,265,0,491.8,25.4,97.5,20,15
4/2/2021,yssmote3,261,253,0,0,29.1,77,14,19
4/2/2021,yssmote5,257,265,0,481,25.8,97.5,33,17
4/2/2021,yssmote3,261,253,0,2.8,29.4,77,16,24
4/2/2021,yssmote5,257,265,0,459.4,26.2,98,32,18
4/2/2021,yssmote3,260,253,0,0,29.4,77,14,14
4/3/2021,yssmote5,257,265,0,449.1,26,98,26,22
4/3/2021,yssmote3,260,253,0,0,29.3,75,13,12
4/3/2021,yssmote5,257,265,0,418.5,26,98,29,20
4/3/2021,yssmote3,260,253,0,14.3,29.2,75.5,21,18
4/3/2021,yssmote5,257,265,0,408,26.1,97.5,31,25
4/3/2021,yssmote3,260,253,0,0,29.2,75.5,11,17
4/3/2021,yssmote5,257,265,0,458.7,26.3,96.5,31,21
4/3/2021,yssmote3,260,253,0,0,29,75.5,20,14
4/3/2021,yssmote5,257,265,0,422.7,26.1,96,23,17
4/3/2021,yssmote3,260,253,0,0,28.9,74,3,26
4/3/2021,yssmote5,257,265,0,410.2,26.1,96.5,30,16
4/3/2021,yssmote3,262,255,0,2.7,28.9,73,13,16
4/3/2021,yssmote5,257,265,0,440.4,26.2,96.5,23,12
4/3/2021,yssmote3,261,254,0,0,28.6,74,17,18
4/3/2021,yssmote5,257,265,0,431.8,26.3,96.5,22,14
4/3/2021,yssmote3,262,256,0,28.9,28.7,75,0,15
4/3/2021,yssmote5,257,265,0,411.4,26.5,96,30,16
4/3/2021,yssmote3,261,256,0,0,28.9,73.5,16,21
4/3/2021,yssmote5,257,265,0,441.8,26.8,96,35,11
4/3/2021,yssmote3,261,263,0,0,28.9,74,22,13
4/3/2021,yssmote5,257,265,0,392.2,29,95.5,33,30
4/3/2021,yssmote3,263,281,0,13.1,29.4,73,23,20
4/3/2021,yssmote5,257,265,0,387.7,31.3,88.5,23,12
4/3/2021,yssmote3,263,283,0,0,30,70.5,30,22
4/3/2021,yssmote5,257,265,0,419.8,33,82,36,15
4/3/2021,yssmote3,262,263,0,35.3,30.1,69,29,30
